BrandName,BrandOriginCountry,BrandOriginRegion,BrandSector,BrandSubSector,Rank2001,Rank2002,Rank2003,Rank2004,Rank2005,Rank2006,Rank2007,Rank2008,Rank2009,Rank2010,Rank2011,Rank2012,Rank2013,Rank2014,Rank2015,Rank2016,Rank2017,Rank2018,Rank2019,Rank2020,Rank2021,Equity2001,Equity2002,Equity2003,Equity2004,Equity2005,Equity2006,Equity2007,Equity2008,Equity2009,Equity2010,Equity2011,Equity2012,Equity2013,Equity2014,Equity2015,Equity2016,Equity2017,Equity2018,Equity2019,Equity2020,Equity2021,GrowthRate2001,GrowthRate2002,GrowthRate2003,GrowthRate2004,GrowthRate2005,GrowthRate2006,GrowthRate2007,GrowthRate2008,GrowthRate2009,GrowthRate2010,GrowthRate2011,GrowthRate2012,GrowthRate2013,GrowthRate2014,GrowthRate2015,GrowthRate2016,GrowthRate2017,GrowthRate2018,GrowthRate2019,GrowthRate2020,GrowthRate2021
Avon,U.S.A.,America,Fashion,Cosmetics,60,62,57,58,59,62,65,69,67,64,65,71,87,,,,,,,,,4369,4399,4631,4849,5213,5040,5103,5264,4917,5072,5376,5151,4610,,,,,,,,,,0.686655985351337,5.27392589224824,4.70740660764413,7.50670241286864,-3.31862651064646,1.25,3.15500685871055,-6.5919452887538,3.15232865568436,5.99369085173502,-4.18526785714286,-10.5028149873811,,,,,,,,
iijsansijojwo,U.S.A.,America,Fashion,Luxury,85,95,95,100,,,99,,99,,,,,,,,,,,,,1910,1928,2048,2147,,,3046,,3094,,,,,,,,,,,,,,0.942408376963355,6.22406639004149,4.833984375,,,,,,,,,,,,,,,,,
Lululemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tjmaxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Crew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshalls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordstrom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonobos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jcrew factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eddiebauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




